(1250.0,50000.0,0.2665)
(1190.47619048,50000.0,0.8785)
(1136.36363636,50000.0,2.9195)
(1086.95652174,50000.0,9.7315)
(1041.66666667,50000.0,32.5365)
(1000.0,50000.0,99.9994999998)
(1250.0,240000.0,0.1125)
(1190.47619048,240000.0,0.3695)
(1136.36363636,240000.0,1.2265)
(1086.95652174,240000.0,4.0955)
(1041.66666667,240000.0,13.6975)
(1000.0,240000.0,45.8915)
(1250.0,430000.0,0.0855)
(1190.47619048,430000.0,0.2805)
(1136.36363636,430000.0,0.9305)
(1086.95652174,430000.0,3.0965)
(1041.66666667,430000.0,10.3255)
(1000.0,430000.0,34.5245)
(1250.0,620000.0,0.0735)
(1190.47619048,620000.0,0.2395)
(1136.36363636,620000.0,0.7915)
(1086.95652174,620000.0,2.6255)
(1041.66666667,620000.0,8.7405)
(1000.0,620000.0,29.2065)
(1250.0,810000.0,0.0655)
(1190.47619048,810000.0,0.2145)
(1136.36363636,810000.0,0.7065)
(1086.95652174,810000.0,2.3405)
(1041.66666667,810000.0,7.7825)
(1000.0,810000.0,26.0045)
(1250.0,1000000.0,0.0605)
(1190.47619048,1000000.0,0.1965)
(1136.36363636,1000000.0,0.6475)
(1086.95652174,1000000.0,2.1445)
(1041.66666667,1000000.0,7.1275)
(1000.0,1000000.0,23.8215)
